"CRS_DEP_TIME","DEP_TIME","Freq"
0,1440,1
5,0,2
5,5,2
5,10,5
5,15,1
5,20,1
5,25,2
5,30,1
5,55,1
5,75,1
5,1435,1
5,1440,3
10,0,13
10,5,44
10,10,48
10,15,24
10,20,16
10,25,9
10,30,9
10,35,1
10,40,4
10,45,3
10,55,1
10,60,1
10,70,1
10,75,1
10,85,2
10,90,1
10,95,1
10,100,1
10,110,1
10,125,1
10,180,1
10,1430,1
10,1435,2
10,1440,7
15,0,3
15,5,36
15,10,102
15,15,121
15,20,28
15,25,22
15,30,12
15,35,15
15,40,14
15,45,5
15,50,5
15,55,6
15,60,2
15,65,3
15,70,1
15,75,2
15,80,1
15,85,3
15,90,1
15,95,2
15,100,3
15,120,1
15,125,2
15,130,3
15,140,1
15,145,1
15,150,1
15,165,2
15,195,1
15,1440,1
20,5,4
20,10,80
20,15,224
20,20,194
20,25,44
20,30,31
20,35,23
20,40,12
20,45,12
20,50,7
20,55,5
20,60,6
20,65,2
20,70,3
20,75,6
20,80,3
20,85,2
20,95,4
20,100,4
20,110,2
20,130,1
20,135,1
20,145,1
20,175,1
20,230,1
25,10,3
25,15,32
25,20,111
25,25,124
25,30,83
25,35,53
25,40,42
25,45,25
25,50,12
25,55,9
25,60,12
25,65,5
25,70,7
25,75,3
25,80,6
25,85,3
25,90,6
25,95,6
25,100,3
25,105,3
25,110,2
25,115,2
25,120,2
25,130,2
25,140,1
25,150,1
25,155,1
25,165,1
25,170,1
25,180,1
25,205,1
30,5,2
30,10,5
30,15,34
30,20,136
30,25,396
30,30,373
30,35,183
30,40,101
30,45,59
30,50,42
30,55,27
30,60,19
30,65,14
30,70,7
30,75,5
30,80,8
30,85,6
30,95,5
30,100,3
30,105,5
30,110,5
30,115,3
30,120,2
30,125,1
30,130,1
30,135,1
30,150,2
30,160,1
30,165,2
30,170,1
30,180,1
30,190,1
35,20,6
35,25,39
35,30,81
35,35,46
35,40,27
35,45,11
35,50,9
35,55,6
35,60,4
35,65,6
35,70,3
35,75,4
35,80,2
35,85,1
35,90,7
35,110,1
35,120,2
35,125,1
35,130,1
35,135,1
35,160,1
35,195,1
35,535,1
40,15,1
40,25,12
40,30,79
40,35,265
40,40,196
40,45,61
40,50,49
40,55,29
